 yes             v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(Vitest)       i(Viout)        v(Vout)         i(v.x3.vib0)    i(v.x3.vib1)    i(v.x3.vib2)    i(v.x3.vib3)    i(v.x3.vib4)    i(v.x3.vib5)    i(v.x3.vib6)   
 1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  5.31384600e-08  6.09335111e-08  6.09335111e-05  1.11778182e-14  1.15894833e-14  1.18049383e-14  1.16101747e-14  1.07114011e-07  1.07786688e-07  1.09394434e-14 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  5.41994825e-08  6.19851712e-08  6.19851712e-05  1.04363095e-07  1.15475662e-14  1.17874181e-14  1.16049614e-14  1.07113979e-07  1.07786672e-07  1.09388087e-14 
 1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  5.52037185e-08  6.29804133e-08  6.29804133e-05  1.11231302e-14  1.04698087e-07  1.17759955e-14  1.16006079e-14  1.07113951e-07  1.07786656e-07  1.09382218e-14 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  5.61925570e-08  6.39602654e-08  6.39602654e-05  1.04362809e-07  1.04697797e-07  1.17671078e-14  1.15967295e-14  1.07113924e-07  1.07786641e-07  1.09376470e-14 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  5.72640501e-08  6.50218699e-08  6.50218699e-05  1.11395688e-14  1.15474541e-14  1.07941444e-07  1.15928937e-14  1.07113895e-07  1.07786626e-07  1.09370421e-14 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  5.82621173e-08  6.60105811e-08  6.60105811e-05  1.04362937e-07  1.15286570e-14  1.07941306e-07  1.15895967e-14  1.07113869e-07  1.07786611e-07  1.09364846e-14 
 1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  5.92232341e-08  6.69625527e-08  6.69625527e-05  1.11118800e-14  1.04697795e-07  1.07941188e-07  1.15866318e-14  1.07113845e-07  1.07786597e-07  1.09359608e-14 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  6.01560922e-08  6.78864046e-08  6.78864046e-05  1.04362695e-07  1.04697571e-07  1.07941085e-07  1.15839256e-14  1.07113822e-07  1.07786584e-07  1.09354558e-14 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  6.10807256e-08  6.88019825e-08  6.88019825e-05  1.11545126e-14  1.15640298e-14  1.17774372e-14  1.00394357e-07  1.07113800e-07  1.07786571e-07  1.09349599e-14 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  6.20926888e-08  6.98038856e-08  6.98038856e-05  1.04363019e-07  1.15377604e-14  1.17679957e-14  1.00394302e-07  1.07113776e-07  1.07786557e-07  1.09344303e-14 
