Instance,Terminal,Layer,X location,Y location,Voltage
PHY_EDGE_ROW_9_Left_19,VPWR,li1,6.2100,35.3600,1.799999
PHY_EDGE_ROW_8_Left_18,VPWR,li1,6.2100,35.3600,1.799999
PHY_EDGE_ROW_7_Left_17,VPWR,li1,6.2100,29.9200,1.799999
PHY_EDGE_ROW_6_Left_16,VPWR,li1,6.2100,29.9200,1.799999
PHY_EDGE_ROW_5_Left_15,VPWR,li1,6.2100,24.4800,1.799997
PHY_EDGE_ROW_4_Left_14,VPWR,li1,6.2100,24.4800,1.799997
PHY_EDGE_ROW_3_Left_13,VPWR,li1,6.2100,19.0400,1.799999
PHY_EDGE_ROW_2_Left_12,VPWR,li1,6.2100,19.0400,1.799999
PHY_EDGE_ROW_1_Left_11,VPWR,li1,6.2100,13.6000,1.799999
PHY_EDGE_ROW_0_Left_10,VPWR,li1,6.2100,13.6000,1.799999
PHY_EDGE_ROW_9_Right_9,VPWR,li1,138.6900,35.3600,1.799995
PHY_EDGE_ROW_8_Right_8,VPWR,li1,138.6900,35.3600,1.799995
PHY_EDGE_ROW_7_Right_7,VPWR,li1,138.6900,29.9200,1.799998
PHY_EDGE_ROW_6_Right_6,VPWR,li1,138.6900,29.9200,1.799998
PHY_EDGE_ROW_5_Right_5,VPWR,li1,138.6900,24.4800,1.799987
PHY_EDGE_ROW_4_Right_4,VPWR,li1,138.6900,24.4800,1.799987
PHY_EDGE_ROW_3_Right_3,VPWR,li1,138.6900,19.0400,1.799997
PHY_EDGE_ROW_2_Right_2,VPWR,li1,138.6900,19.0400,1.799997
PHY_EDGE_ROW_1_Right_1,VPWR,li1,138.6900,13.6000,1.799996
PHY_EDGE_ROW_0_Right_0,VPWR,li1,138.6900,13.6000,1.799996
_172_,VPWR,li1,105.3400,29.9200,1.799998
_171_,VPWR,li1,99.1300,13.6000,1.799996
_170_,VPWR,li1,79.1200,13.6000,1.799997
_169_,VPWR,li1,67.6200,13.6000,1.799997
_168_,VPWR,li1,19.3200,29.9200,1.800000
_167_,VPWR,li1,45.5400,19.0400,1.799998
_166_,VPWR,li1,48.3000,35.3600,1.799997
_165_,VPWR,li1,65.3200,35.3600,1.799996
_164_,VPWR,li1,78.2000,35.3600,1.799996
_163_,VPWR,li1,88.7800,35.3600,1.799996
_162_,VPWR,li1,104.4200,35.3600,1.799995
_161_,VPWR,li1,105.5700,19.0400,1.799997
_160_,VPWR,li1,11.0400,29.9200,1.799999
_159_,VPWR,li1,22.5400,35.3600,1.799999
_158_,VPWR,li1,35.4200,29.9200,1.799999
_157_,VPWR,li1,35.4200,29.9200,1.799999
_156_,VPWR,li1,22.5400,24.4800,1.799997
_155_,VPWR,li1,35.8800,19.0400,1.799998
_154_,VPWR,li1,11.0400,19.0400,1.799999
_153_,VPWR,li1,14.7200,13.6000,1.799999
