 v-sweep         v(vin_p)        i(v.x4.vib)     i(v.x4.vibx2)   v(x4.min1)      v(x4.min2)      i(vir)          i(viout_p)      i(viout_n)     
 1.00000000e+00  1.00000000e+00  3.84476154e-06  1.73514932e-05  1.18100485e-01  1.18575930e-01  3.83693731e-06  1.73451926e-05  8.64559450e-06 
 1.01000000e+00  1.01000000e+00  3.84362011e-06  1.73514904e-05  1.18100417e-01  1.18575956e-01  3.83731199e-06  1.73467060e-05  8.64522125e-06 
 1.02000000e+00  1.02000000e+00  3.84267787e-06  1.73514882e-05  1.18100361e-01  1.18575977e-01  3.83762103e-06  1.73479551e-05  8.64491337e-06 
 1.03000000e+00  1.03000000e+00  3.84190470e-06  1.73514863e-05  1.18100315e-01  1.18575995e-01  3.83787446e-06  1.73489798e-05  8.64466090e-06 
 1.04000000e+00  1.04000000e+00  3.84127429e-06  1.73514848e-05  1.18100277e-01  1.18576009e-01  3.83808099e-06  1.73498153e-05  8.64445516e-06 
 1.05000000e+00  1.05000000e+00  3.84076368e-06  1.73514836e-05  1.18100247e-01  1.18576021e-01  3.83824819e-06  1.73504919e-05  8.64428859e-06 
 1.06000000e+00  1.06000000e+00  3.84035292e-06  1.73514826e-05  1.18100223e-01  1.18576030e-01  3.83838266e-06  1.73510361e-05  8.64415463e-06 
 1.07000000e+00  1.07000000e+00  3.84002474e-06  1.73514818e-05  1.18100203e-01  1.18576037e-01  3.83849005e-06  1.73514709e-05  8.64404764e-06 
 1.08000000e+00  1.08000000e+00  3.83976434e-06  1.73514812e-05  1.18100187e-01  1.18576043e-01  3.83857526e-06  1.73518159e-05  8.64396276e-06 
 1.09000000e+00  1.09000000e+00  3.83955909e-06  1.73514807e-05  1.18100175e-01  1.18576048e-01  3.83864240e-06  1.73520878e-05  8.64389587e-06 
 1.10000000e+00  1.10000000e+00  3.83939836e-06  1.73514803e-05  1.18100166e-01  1.18576052e-01  3.83869497e-06  1.73523008e-05  8.64384350e-06 
 1.11000000e+00  1.11000000e+00  3.83927328e-06  1.73514800e-05  1.18100158e-01  1.18576054e-01  3.83873588e-06  1.73524665e-05  8.64380275e-06 
 1.12000000e+00  1.12000000e+00  3.83917650e-06  1.73514798e-05  1.18100152e-01  1.18576057e-01  3.83876753e-06  1.73525947e-05  8.64377122e-06 
 1.13000000e+00  1.13000000e+00  3.83910203e-06  1.73514796e-05  1.18100148e-01  1.18576058e-01  3.83879188e-06  1.73526933e-05  8.64374696e-06 
 1.14000000e+00  1.14000000e+00  3.83904502e-06  1.73514794e-05  1.18100145e-01  1.18576060e-01  3.83881052e-06  1.73527688e-05  8.64372839e-06 
 1.15000000e+00  1.15000000e+00  3.83900157e-06  1.73514793e-05  1.18100142e-01  1.18576061e-01  3.83882473e-06  1.73528264e-05  8.64371424e-06 
 1.16000000e+00  1.16000000e+00  3.83896860e-06  1.73514793e-05  1.18100140e-01  1.18576061e-01  3.83883551e-06  1.73528701e-05  8.64370350e-06 
 1.17000000e+00  1.17000000e+00  3.83894367e-06  1.73514792e-05  1.18100139e-01  1.18576062e-01  3.83884366e-06  1.73529031e-05  8.64369538e-06 
 1.18000000e+00  1.18000000e+00  3.83892489e-06  1.73514791e-05  1.18100137e-01  1.18576062e-01  3.83884980e-06  1.73529279e-05  8.64368926e-06 
 1.19000000e+00  1.19000000e+00  3.83891078e-06  1.73514791e-05  1.18100137e-01  1.18576063e-01  3.83885441e-06  1.73529466e-05  8.64368467e-06 
 1.20000000e+00  1.20000000e+00  3.83890021e-06  1.73514791e-05  1.18100136e-01  1.18576063e-01  3.83885786e-06  1.73529606e-05  8.64368123e-06 
 1.21000000e+00  1.21000000e+00  3.83889232e-06  1.73514791e-05  1.18100136e-01  1.18576063e-01  3.83886045e-06  1.73529711e-05  8.64367865e-06 
 1.22000000e+00  1.22000000e+00  3.83888643e-06  1.73514791e-05  1.18100135e-01  1.18576063e-01  3.83886237e-06  1.73529789e-05  8.64367674e-06 
 1.23000000e+00  1.23000000e+00  3.83888204e-06  1.73514790e-05  1.18100135e-01  1.18576063e-01  3.83886381e-06  1.73529847e-05  8.64367531e-06 
