 yes             code            v(sb0)          v(sb1)          v(sb2)          v(sb3)          v(sb4)          v(sb5)          v(sb6)          v(sb7)          i(vib)          i(visense)      i(vidump)       v(q)            v(qbar)        
 1.00000000e+00  4.70000000e+01  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  5.45642654e-06  1.14459271e-06  4.31182574e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  4.80000000e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  5.45642639e-06  1.11279995e-06  4.34361834e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  4.90000000e+01  1.30000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  5.45642781e-06  1.18401502e-06  4.27240469e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  5.00000000e+01  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  5.45642835e-06  1.19864267e-06  4.25777758e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  5.10000000e+01  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  5.45642928e-06  1.24000769e-06  4.21641349e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  5.20000000e+01  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  5.45642943e-06  1.22814739e-06  4.22827395e-06  2.00795881e-09  2.00795881e-09 
 1.00000000e+00  5.30000000e+01  1.30000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  5.45643052e-06  1.28227491e-06  4.17414751e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  5.40000000e+01  0.00000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  5.45643086e-06  1.28420256e-06  4.17222020e-06  2.00795881e-09  2.00795881e-09 
 1.00000000e+00  5.50000000e+01  1.30000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  5.45643155e-06  1.31183848e-06  4.14458497e-06  2.00795881e-09  2.00795881e-09 
 1.00000000e+00  5.60000000e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  5.45643154e-06  1.28817512e-06  4.16824832e-06  2.00795870e-09  2.00795870e-09 
