 i-sweep         v(vout)         i(viin)         v(vgate)        v(vmid)        
 2.22000000e-05  1.28092839e+00  2.22000000e-05  1.50000000e+00  2.00000000e-01 
 2.23000000e-05  1.28190338e+00  2.23000000e-05  1.50000000e+00  2.00000000e-01 
 2.24000000e-05  1.28287325e+00  2.24000000e-05  1.50000000e+00  2.00000000e-01 
 2.25000000e-05  1.28383810e+00  2.25000000e-05  1.50000000e+00  2.00000000e-01 
 2.26000000e-05  1.28479801e+00  2.26000000e-05  1.50000000e+00  2.00000000e-01 
 2.27000000e-05  1.28575305e+00  2.27000000e-05  1.50000000e+00  2.00000000e-01 
 2.28000000e-05  1.28670330e+00  2.28000000e-05  1.50000000e+00  2.00000000e-01 
 2.29000000e-05  1.28764885e+00  2.29000000e-05  1.50000000e+00  2.00000000e-01 
 2.30000000e-05  1.28858976e+00  2.30000000e-05  1.50000000e+00  2.00000000e-01 
 2.31000000e-05  1.28952611e+00  2.31000000e-05  1.50000000e+00  2.00000000e-01 
 2.32000000e-05  1.29045797e+00  2.32000000e-05  1.50000000e+00  2.00000000e-01 
 2.33000000e-05  1.29138540e+00  2.33000000e-05  1.50000000e+00  2.00000000e-01 
 2.34000000e-05  1.29230848e+00  2.34000000e-05  1.50000000e+00  2.00000000e-01 
 2.35000000e-05  1.29322726e+00  2.35000000e-05  1.50000000e+00  2.00000000e-01 
 2.36000000e-05  1.29414182e+00  2.36000000e-05  1.50000000e+00  2.00000000e-01 
 2.37000000e-05  1.29505220e+00  2.37000000e-05  1.50000000e+00  2.00000000e-01 
 2.38000000e-05  1.29595849e+00  2.38000000e-05  1.50000000e+00  2.00000000e-01 
 2.39000000e-05  1.29686072e+00  2.39000000e-05  1.50000000e+00  2.00000000e-01 
 2.40000000e-05  1.29775897e+00  2.40000000e-05  1.50000000e+00  2.00000000e-01 
 2.41000000e-05  1.29865328e+00  2.41000000e-05  1.50000000e+00  2.00000000e-01 
 2.42000000e-05  1.29954372e+00  2.42000000e-05  1.50000000e+00  2.00000000e-01 
 2.43000000e-05  1.30043033e+00  2.43000000e-05  1.50000000e+00  2.00000000e-01 
 2.44000000e-05  1.30131318e+00  2.44000000e-05  1.50000000e+00  2.00000000e-01 
 2.45000000e-05  1.30219230e+00  2.45000000e-05  1.50000000e+00  2.00000000e-01 
 2.46000000e-05  1.30306775e+00  2.46000000e-05  1.50000000e+00  2.00000000e-01 
 2.47000000e-05  1.30393959e+00  2.47000000e-05  1.50000000e+00  2.00000000e-01 
 2.48000000e-05  1.30480785e+00  2.48000000e-05  1.50000000e+00  2.00000000e-01 
 2.49000000e-05  1.30567258e+00  2.49000000e-05  1.50000000e+00  2.00000000e-01 
 2.50000000e-05  1.30653384e+00  2.50000000e-05  1.50000000e+00  2.00000000e-01 
