Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_1_159,VGND,li1,80.5000,16.3200,0.000053
FILLER_1_147,VGND,li1,75.9000,16.3200,0.000051
FILLER_1_125,VGND,li1,64.4000,16.3200,0.000043
FILLER_1_113,VGND,li1,60.2600,16.3200,0.000041
FILLER_1_110,VGND,li1,56.5800,16.3200,0.000038
FILLER_1_92,VGND,li1,50.6000,16.3200,0.000033
FILLER_1_73,VGND,li1,39.5600,16.3200,0.000024
FILLER_1_55,VGND,li1,31.0500,16.3200,0.000015
FILLER_1_51,VGND,li1,29.9000,16.3200,0.000015
FILLER_1_39,VGND,li1,26.2200,16.3200,0.000010
FILLER_1_27,VGND,li1,20.7000,16.3200,0.000010
FILLER_1_15,VGND,li1,15.1800,16.3200,0.000010
FILLER_1_3,VGND,li1,9.6600,16.3200,0.000010
FILLER_0_281,VGND,li1,135.4700,10.8800,0.000000
FILLER_0_273,VGND,li1,131.7900,10.8800,0.000000
FILLER_0_265,VGND,li1,129.2600,10.8800,0.000000
FILLER_0_253,VGND,li1,124.6600,10.8800,0.000000
FILLER_0_249,VGND,li1,120.7500,10.8800,0.000000
FILLER_0_237,VGND,li1,117.3000,10.8800,0.000000
FILLER_0_225,VGND,li1,111.7800,10.8800,0.000000
FILLER_0_221,VGND,li1,107.8700,10.8800,0.000000
FILLER_0_209,VGND,li1,104.4200,10.8800,0.000000
FILLER_0_197,VGND,li1,98.9000,10.8800,0.000000
FILLER_0_193,VGND,li1,94.9900,10.8800,0.000000
FILLER_0_187,VGND,li1,91.7700,10.8800,0.000000
FILLER_0_181,VGND,li1,90.1600,10.8800,0.000000
FILLER_0_169,VGND,li1,86.0200,10.8800,0.000000
FILLER_0_165,VGND,li1,82.1100,10.8800,0.000000
FILLER_0_153,VGND,li1,78.6600,10.8800,0.000000
FILLER_0_141,VGND,li1,73.1400,10.8800,0.000000
FILLER_0_137,VGND,li1,69.2300,10.8800,0.000000
FILLER_0_125,VGND,li1,65.7800,10.8800,0.000000
FILLER_0_113,VGND,li1,60.2600,10.8800,0.000000
FILLER_0_109,VGND,li1,56.3500,10.8800,0.000000
FILLER_0_97,VGND,li1,52.9000,10.8800,0.000000
